reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	8	0.3333333333333333
motion	motion_one_hop	1	36	17	0.4722222222222222
motion	motion_one_hop	2	36	3	0.08333333333333333
motion	motion_one_hop_jerund	0	72	48	0.6666666666666666
motion	motion_one_hop_jerund	1	72	34	0.4722222222222222
motion	motion_one_hop_jerund	2	72	11	0.1527777777777778
motion	non_motion_one_hop	0	24	0	0.0
motion	non_motion_one_hop	1	36	24	0.6666666666666666
motion	non_motion_one_hop	2	36	3	0.08333333333333333
motion	non_motion_one_hop_jerund	0	48	0	0.0
motion	non_motion_one_hop_jerund	1	48	28	0.5833333333333334
motion	non_motion_one_hop_jerund	2	48	1	0.020833333333333332
orientation	cardinals_neutral	0	96	22	0.22916666666666666
orientation	cardinals_one_hop	0	24	0	0.0
orientation	cardinals_one_hop	1	72	48	0.6666666666666666
orientation	left_right_above_below_one_hop	0	160	0	0.0
orientation	left_right_above_below_one_hop	1	640	141	0.2203125
orientation	left_right_one_hop	0	360	0	0.0
orientation	left_right_one_hop	1	840	226	0.26904761904761904
distance	far_negative	0	60	57	0.95
distance	far_negative	1	60	60	1.0
distance	far_negative	2	40	38	0.95
distance	far_negative	3	40	40	1.0
distance	far_positive	0	20	0	0.0
distance	far_positive	1	60	0	0.0
distance	far_positive	2	60	0	0.0
distance	nearby_neutral	0	120	0	0.0
distance	nearby_neutral	1	120	0	0.0
distance	not_touching_neutral	0	120	0	0.0
distance	not_touching_neutral	1	120	0	0.0
distance	not_touching_neutral	2	120	0	0.0
distance	not_touching_neutral	3	120	20	0.16666666666666666
distance	touching_negative	0	120	27	0.225
distance	touching_negative	1	120	80	0.6666666666666666
distance	touching_negative	2	120	36	0.3
distance	touching_positive	0	120	78	0.65
distance	touching_positive	1	120	77	0.6416666666666667
distance	touching_positive	2	120	56	0.4666666666666667
distance	transitivity_negative	0	480	0	0.0
containment	filled_with	0	18	7	0.3888888888888889
containment	filled_with	1	18	16	0.8888888888888888
containment	motion_out_of	0	54	19	0.35185185185185186
containment	motion_out_of	1	54	51	0.9444444444444444
containment	motion_out_of	2	36	24	0.6666666666666666
containment	motion_out_of	3	36	0	0.0
containment	movement_into_container	0	54	32	0.5925925925925926
containment	movement_into_container	1	54	19	0.35185185185185186
containment	movement_into_container	2	36	27	0.75
containment	one_hop_neg	0	72	19	0.2638888888888889
containment	one_hop_neg	1	72	0	0.0
containment	one_hop_pos	0	216	181	0.8379629629629629
containment	one_hop_pos	1	216	123	0.5694444444444444
containment	one_hop_pos	2	216	106	0.49074074074074076
containment	two_hop_fits_in	0	528	221	0.4185606060606061
containment	two_hop_fits_in	1	792	167	0.21085858585858586
containment	two_hop_fits_in	2	792	392	0.494949494949495
containment	two_hop_fits_in	3	792	371	0.4684343434343434
containment	two_hop_fits_in	4	528	32	0.06060606060606061
containment	two_hop_fits_in	5	528	299	0.5662878787878788
containment	two_hop_fits_in	6	528	289	0.5473484848484849
containment	two_hop_is_in	0	1782	783	0.4393939393939394
containment	two_hop_is_in	1	1188	1066	0.8973063973063973
containment	two_hop_is_in	2	1188	613	0.515993265993266
containment	two_hop_is_in	3	1188	470	0.3956228956228956
containment	two_hop_is_in	4	1188	791	0.6658249158249159
containment	two_hop_is_in	5	1188	222	0.18686868686868688
containment	two_hop_is_in	6	1188	355	0.2988215488215488
metaphor	containment_metaphors_action_into_movement	0	240	93	0.3875
metaphor	containment_metaphors_action_into_movement	1	240	102	0.425
metaphor	containment_metaphors_could_not_contain	0	12	8	0.6666666666666666
metaphor	containment_metaphors_energy_into	0	12	0	0.0
metaphor	containment_metaphors_energy_into	1	12	4	0.3333333333333333
metaphor	containment_metaphors_entity_in_state	0	20	9	0.45
metaphor	containment_metaphors_filled_with_emotion	0	12	12	1.0
metaphor	containment_metaphors_got_out_of	0	12	10	0.8333333333333334
metaphor	containment_metaphors_in_motion	0	9	2	0.2222222222222222
metaphor	containment_metaphors_material_in	0	9	0	0.0
metaphor	containment_metaphors_outside_of	0	36	6	0.16666666666666666
metaphor	distance_metaphors_close_to_goal	0	36	0	0.0
metaphor	distance_metaphors_close_to_goal	1	36	6	0.16666666666666666
metaphor	distance_metaphors_close_to_goal	2	36	10	0.2777777777777778
metaphor	distance_metaphors_far_from_achieving	0	36	36	1.0
metaphor	distance_metaphors_far_from_achieving	1	36	36	1.0
metaphor	motion_metaphors_flying	0	4	4	1.0
metaphor	motion_metaphors_flying	1	4	0	0.0
metaphor	motion_metaphors_jumping	0	12	1	0.08333333333333333
metaphor	motion_metaphors_jumping	1	12	0	0.0
metaphor	motion_metaphors_moving_toward_agreement	0	36	0	0.0
metaphor	motion_metaphors_skipping	0	16	12	0.75
metaphor	motion_metaphors_skipping	1	16	16	1.0
metaphor	orientation_metaphors_behind	0	12	10	0.8333333333333334
metaphor	orientation_metaphors_down	0	4	1	0.25
metaphor	orientation_metaphors_down	1	4	4	1.0
metaphor	orientation_metaphors_looking_forward	0	12	11	0.9166666666666666
